Item ID,Dish Name,Calories (kcal),Protein (g),Carbs (g),Fat (g),Difficulty,Nutritional Analysis & Context,Type
L-24,Grilled Chicken Salad (Indian),300–350,30–35,10–15,10–12,Easy,"Marinated in yogurt and Tikka spices. Extremely low-carb and high-protein, suitable for ""cutting"" phases or aggressive weight loss.",Lunch
L-25,Keema Matar + Roti,450–500,25–30,30–35,20–25,Medium,Minced meat (lamb/chicken) with peas. High in iron and B12. Higher fat content requires strict portion control.,Lunch
L-26,Chicken Biryani (Home style),500–600,25–30,60–70,15–20,Hard,A culturally significant but calorie-dense meal. Home cooking allows for oil reduction. Best consumed on high-activity days.,Lunch
L-27,Egg Bhurji + 2 Multigrain Rotis,350–400,16–18,35–40,12–15,Easy,"A quick lunch option. Scrambling eggs with onions, tomatoes, and chilies increases the volume and micronutrient density.",Lunch
L-28,Tandoori Chicken + Salad,300–350,30–35,5–10,12–15,Medium,"Roasted in a clay oven (or oven). Fat drips away during cooking, making it one of the leanest Indian meat preparations.",Lunch
L-29,Prawn Masala + Rice,380–420,20–25,45–50,10–12,Medium,Prawns are nearly pure protein with very little fat. They are rich in zinc and selenium.,Lunch
L-30,Mutton Rogan Josh + 2 Rotis,500–550,25–30,35–40,25–30,Hard,"A rich Kashmiri dish. Red meat is harder to digest, making it suitable for lunch but not dinner. High calorie density.",Lunch
L-31,Black Chana Masala + Roti,350–400,12–15,55–60,8–10,Medium,"Black chickpeas have a lower GI and tougher skin than white chickpeas, leading to slower digestion and prolonged satiety.",Lunch
L-32,Lobiya (Black Eyed Peas) + Rice,380–420,12–14,60–65,8–10,Medium,Cooks faster than Rajma. It has a unique creamy texture without adding fat. Good source of folate.,Lunch
L-33,Kulthi (Horse Gram) Dal + Rice,350–400,14–16,55–60,6–8,Medium,"A lesser-known superfood. Ayurvedic texts recommend Horse Gram for ""cutting fat"" and kidney stone prevention.",Lunch
L-34,Masoor Dal (Red Lentil) + Rice,350–380,14–16,55–60,6–8,Easy,"The most easily digestible lentil. High protein content and cooks rapidly, making it ideal for quick meals.",Lunch
L-35,Green Moong Sabzi (Dry) + Roti,320–360,12–14,50–55,8–10,Medium,Using whole green moong (with skin) provides maximum fiber. The dry preparation concentrates flavors and nutrients.,Lunch
L-36,Chana Dal + Lauki + Roti,320–350,10–12,50–55,8–10,Medium,"A symbiotic combination. The dal adds protein, while the bottle gourd adds volume and hydration, balancing the meal's density.",Lunch
L-37,Matki (Moth Bean) Curry + Roti,300–340,12–14,45–50,8–10,Medium,Often sprouted before cooking (Usal). Sprouting enhances vitamin C content and reduces cooking time.,Lunch
L-38,Soyabean Chunk Curry + Rice,350–400,20–25,45–50,10–12,Medium,"Known as ""vegetarian meat."" It offers a complete protein profile and a chewy texture that satisfies cravings for meat.",Lunch
L-39,Paneer Bhurji + 2 Rotis,400–450,18–20,35–40,20–25,Easy,Scrambled paneer is quick and high in fat/protein. Excellent for those following a Lower Carb High Fat (LCHF) protocol.,Lunch
L-40,Avial + Rice,350–400,6–8,50–55,12–15,Medium,"A Kerala mixed vegetable stew with coconut and yogurt. While lower in protein, it is a multivitamin powerhouse.",Lunch
,,,,,,,,
D-01,Tomato Rasam (1 bowl),50–80,1–2,10–15,2–4,Easy,"A functional soup. Tamarind, black pepper, and cumin aid digestion and clear sinuses. Very low calorie.",Dinner
D-02,Lauki (Bottle Gourd) Soup,60–90,2–3,10–15,2–3,Easy,Alkalizing and cooling. High water content promotes fullness. Often used in naturopathy for weight loss.,Dinner
D-03,Moong Dal Soup (Watery),100–120,6–8,15–18,2–4,Easy,The specific amino acid profile of moong dal is least taxing on the digestive system. A staple for recovery.,Dinner
D-04,Chicken Clear Soup,120–150,15–18,5–8,4–6,Easy,Pure lean protein in liquid form. Amino acids are rapidly absorbed for overnight muscle repair.,Dinner
D-05,Mixed Vegetable Soup,100–130,3–5,15–20,3–5,Easy,"High fiber volume from cabbage, carrots, and beans. Uses up leftover produce efficiently.",Dinner
D-06,Palak (Spinach) Soup,90–110,3–5,10–15,3–5,Easy,A magnesium-rich soup that can help relax muscles and improve sleep quality.,Dinner
D-07,Mulligatawny Soup,180–220,8–10,25–30,6–8,Medium,An Anglo-Indian hybrid of soup and curry. Adding lentils and rice makes it a complete light meal.,Dinner
D-08,Grilled Paneer Salad,250–300,18–20,10–15,15–18,Easy,"Paneer contains casein, which clots in the stomach and provides a slow release of amino acids throughout the night.",Dinner
D-09,Soya Chunk Stir Fry,200–250,20–25,15–20,8–10,Easy,"A high-protein vegan option. The spongy texture absorbs spices well, making it satisfying without heavy gravies.",Dinner
D-10,Egg White Bhurji (4 eggs),180–220,14–16,5–8,10–12,Easy,Removing the yolk drastically reduces calories and cholesterol while maintaining high protein density.,Dinner
D-11,Tofu Bhurji (Vegan),200–250,15–18,8–10,12–15,Easy,A lower saturated fat alternative to paneer. Soy protein aids in lowering cholesterol.,Dinner
D-12,Chicken Tikka (No Naan),300–350,30–35,5–10,12–15,Medium,"Dry roasted chicken chunks. Without the naan bread, this is a pure protein meal ideal for muscle retention.",Dinner
D-13,Fish Fry (Pan Seared),250–300,25–28,2–5,12–15,Easy,Pan-searing with minimal oil preserves the Omega-3s without the caloric load of deep frying.,Dinner
D-14,Besan Chilla (2) + Curd,250–280,12–14,30–35,8–10,Easy,A lighter alternative to rotis. Besan (chickpea flour) is less inflammatory than wheat gluten for some individuals.,Dinner
D-15,Moong Dal Chilla + Chutney,240–270,14–16,30–35,6–8,Medium,The easiest to digest legume pancake. High Protein Efficiency Ratio (PER).,Dinner
D-16,Dalia (Broken Wheat) Upma,200–250,6–8,40–45,5–7,Easy,High fiber aids morning bowel movements. The porridge-like consistency is comforting and filling.,Dinner
D-17,Oats Khichdi,220–260,8–10,35–40,6–8,Easy,A savory application of oats. Combining with moong dal creates a complete protein source with soluble fiber.,Dinner
D-18,Bajra Roti (1) + Methi Sabzi,250–300,6–8,35–40,8–10,Medium,Pearl millet (Bajra) is warming and gluten-free. Best consumed in winter for its thermal effect.,Dinner
D-19,Jowar Roti (1) + Bhindi,240–280,6–8,40–45,6–8,Medium,Sorghum (Jowar) is lighter and easier to digest than wheat. High fiber content.,Dinner
D-20,Ragi Porridge (Savory),180–220,6–8,35–40,4–6,Easy,"A semi-liquid meal that digests rapidly, improving sleep quality. Rich in calcium.",Dinner
D-21,Curd Rice (Small Portion),200–250,6–8,30–35,8–10,Easy,"Dairy contains tryptophan, a precursor to serotonin/melatonin, promoting sleep. Portion control is vital.",Dinner
D-22,Idiyappam (2) + Veg Stew,250–300,4–6,45–50,8–10,Hard,Steamed rice noodles are extremely light. The stew adds volume through water and coconut milk.,Dinner
D-23,Khichdi (Moong Dal & Rice),250–300,10–12,40–45,8–10,Easy,"The ultimate Ayurvedic ""detox"" meal. It gives the digestive fire (Agni) a rest.",Dinner
D-24,Pongal (Ven),300–350,10–12,45–50,12–15,Medium,"Similar to Khichdi but typically seasoned heavily with pepper, ginger, and ghee. Nutritious but calorie-dense.",Dinner
D-25,Rava Dosa (1) + Sambar,200–250,4–6,35–40,6–8,Medium,Instant dosa without fermentation. The semolina crispiness provides psychological satisfaction.,Dinner
D-26,Vegetable Dalia Pulao,220–260,6–8,40–45,6–8,Medium,"The grainy texture requires more chewing, which increases satiety signals to the brain.",Dinner
D-27,Buckwheat (Kuttu) Khichdi,250–300,8–10,45–50,6–8,Medium,A pseudo-cereal often used during fasting (Navratri). High in magnesium and gluten-free.,Dinner
D-28,Millet Dosa + Chutney,220–260,6–8,35–40,6–8,Hard,Made from Foxtail or Little millet. Has a lower glycemic impact than rice dosa.,Dinner
D-29,Cauliflower Rice + Dal,200–250,10–12,20–25,6–8,Medium,A low-carb rice substitute. Significantly reduces caloric intake while maintaining the volume of a traditional meal.,Dinner
D-30,Quinoa Salad (Indian Style),250–300,8–10,35–40,8–10,Easy,"High protein grain tossed with cucumber, tomato, and lemon dressing. Light and refreshing.",Dinner
,,,,,,,,
S-01,Roasted Chana (1/2 cup),150–180,8–10,25–30,2–4,Easy,The ultimate portable protein. Contains resistant starch. Requires zero preparation.,Snacks
S-02,Roasted Makhana (Fox Nuts),100–120,3–4,20–25,3–5,Easy,Extremely low calorie for high volume. A perfect crunchy alternative to popcorn. Rich in magnesium.,Snacks
S-03,Boiled Egg Chaat (2 eggs),140–160,12–14,2–4,10–12,Easy,"High protein. The addition of onions, tomatoes, and chaat masala adds volume and zest without calories.",Snacks
S-04,Sprouted Moong Chaat,100–120,6–8,15–20,1–2,Medium,"""Living food""—high enzymatic activity from sprouting. Extremely high fiber content.",Snacks
S-05,Peanut Chaat,180–220,8–10,8–12,14–16,Easy,High in healthy monounsaturated fats. Very satiating but calorie-dense; portion control is key.,Snacks
S-06,Masala Corn (Boiled),120–150,3–5,25–30,2–3,Easy,Sweet corn is a whole grain. High fiber. Satisfies sweet/salty cravings effectively.,Snacks
S-07,Chana Sundal,150–180,7–9,25–30,4–6,Medium,A South Indian beach snack. Tempering with mustard seeds and coconut adds healthy fats and flavor.,Snacks
S-08,Dhokla (Steamed),140–160,4–6,20–25,4–6,Medium,"Steamed, not fried. Fermented chickpea batter is good for gut health. Low calorie density.",Snacks
S-09,Hummus + Cucumber,150–200,6–8,15–20,8–10,Medium,Chickpea-based dip. Healthy fats from tahini/olive oil. Hydrating veggies reduce calorie intake.,Snacks
S-10,Paneer Tikka (Grilled),180–220,12–15,4–6,12–15,Medium,Pure protein/fat snack. Keeps insulin low. Perfect for evening hunger pangs.,Snacks
S-11,Buttermilk (Chaas),40–60,2–3,4–6,1–2,Easy,"Probiotic, hydrating, cooling. Spices like cumin aid digestion. Ideal post-lunch.",Snacks
S-12,Coconut Water,40–50,0–1,10–12,0,Easy,Nature's sports drink. High potassium. Zero fat. Good for mid-morning hydration.,Snacks
S-13,Fruit Chaat,80–120,1–2,20–30,0–1,Easy,"Vitamin dense. Chaat masala encourages fruit consumption. Choose low GI fruits (papaya, apple).",Snacks
S-14,Cucumber Raita,60–80,3–4,5–8,2–4,Easy,"High volume, low calorie. Calcium from yogurt. Very cooling and filling.",Snacks
S-15,Sattu Drink (Savory),100–120,6–8,15–20,2–3,Easy,"""Poor man's protein shake."" Roasted gram flour mixed with water. Instant energy and cooling.",Snacks
S-16,Roasted Papad,30–50,2–3,5–8,0–1,Easy,Crunchy satisfaction for very low calories. Use urad dal papad for protein. Watch sodium.,Snacks
S-17,Til (Sesame) Laddu,80–100,2–3,8–10,5–7,Easy,Calcium and healthy fats. Good for winter energy. Portion control is essential.,Snacks
S-18,Protein Laddu (Home),120–150,8–10,10–15,6–8,Medium,"Made with whey, seeds, and dates. Functional dessert for muscle repair.",Snacks
S-19,Vegetable Soup (Clear),50–70,1–2,10–12,0–1,Medium,High volume liquid. Delays hunger for dinner. Fiber from veggies aids digestion.,Snacks
S-20,Almonds & Walnuts,160–180,5–6,4–6,14–16,Easy,Healthy Omega-3 fats. Satiating. Best consumed soaked to remove anti-nutrients.,Snacks
