ID,Exercise Name,Target Muscle,Difficulty,Gym Equipment,Home Alternative,Gender/Goal Bias,Target Goal
60,Reverse Lunge,Glutes,Interm.,Deficit (Plate),Step Back Lunge,Female/Toning,Glute Stretch
61,Plank,Core (Stability),Beginner,Mat,Floor Plank,Unisex,Anti-Extension
62,Hanging Leg Raises,Lower Abs,Advanced,Pull-Up Bar,Lying Leg Raises,Male/Abs,Lower Ab
63,Russian Twists,Obliques,Interm.,Medicine Ball,Bottle Twist,Unisex,Rotation
64,Ab Wheel Rollout,Core (Stretch),Advanced,Ab Wheel,Towel Slide Rollout,Male/Abs,Anti-Extension
65,Cable Woodchoppers,Obliques,Interm.,Cable,Band Woodchoppers,Unisex,Rotational Power
66,Dead Bug,Deep Core,Beginner,Mat,Floor Dead Bug,Unisex,Pelvic Control
67,Bicycle Crunches,Abs/Obliques,Interm.,Mat,Floor Bicycle,Female/Toning,Ab Definition
68,Mountain Climbers,Cardio/Core,Interm.,Floor,Floor Climbers,Unisex,High HR
69,Vacuum Pose,Transverse Abs,Advanced,None,Stomach Vacuum,Male/Aesthetics,Small Waist
70,Side Plank,Obliques/QL,Interm.,Mat,Floor Side Plank,Unisex,Lateral Stability
71,HIIT Burpees,Full Body,Advanced,Floor,Floor Burpees,Unisex,Fat Loss
72,Treadmill Sprints,Legs/Cardio,Interm.,Treadmill,High Knees in Place,Unisex,Sprint Cardio
73,Jump Rope,Calves/Cardio,Interm.,Rope,Shadow Skipping,Unisex,Coordination
74,Battle Ropes,Shoulders/Cardio,Interm.,Ropes,Towel Slams,Male/Cond.,Upper Body Cond.
75,Stair Climber,Glutes/Cardio,Beginner,StairMaster,Step-Up Intervals,Female/Toning,Glute Cardio
76,Cycling,Quads/Cardio,Beginner,Spin Bike,Air Cycling (Lying),Unisex,Low Impact
77,Kettlebell Swing,Posterior Chain,Interm.,Kettlebell,Dumbbell Swing,Female/Toning,Hinge Cardio
78,Box Jumps,Fast Twitch,Advanced,Plyo Box,Broad Jumps,Male/Power,Explosive Power
79,Rowing Machine,Back/Cardio,Interm.,Concept2 Rower,Band Seated Cardio Row,Unisex,Full Body Cardio
80,Elliptical Trainer,Cardio,Beginner,Elliptical,Sliding Mtn Climbers,Unisex,Low Impact
